date, mean_ice_coverage [%]
2023-11-01, 0.0
2023-11-02, 0.0
2023-11-03, 0.0
2023-11-04, 0.0
2023-11-05, 0.0
2023-11-06, 0.0
2023-11-07, 0.0
2023-11-08, 0.0
2023-11-09, 0.0
2023-11-10, 0.0
2023-11-11, 0.0
2023-11-12, 0.0
2023-11-13, 0.0
2023-11-14, 0.0
2023-11-15, 0.0
2023-11-16, 0.0
2023-11-17, 0.0
2023-11-18, 0.0
2023-11-19, 0.0
2023-11-20, 0.0
2023-11-21, 0.0
2023-11-22, 0.0
2023-11-23, 0.0
2023-11-24, 0.0
2023-11-25, 0.0
2023-11-26, 0.0
2023-11-27, 0.0
2023-11-28, 0.0
2023-11-29, 0.0
2023-11-30, 13.447729
2023-12-01, 7.9307117
2023-12-02, 7.9307117
2023-12-03, 7.9307117
2023-12-04, 3.8791738
2023-12-05, 3.8791738
2023-12-06, 3.8791738
2023-12-07, 3.8791738
2023-12-08, 0.76615477
2023-12-09, 0.0
2023-12-10, 0.0
2023-12-11, 0.0
2023-12-12, 0.0
2023-12-13, 0.0
2023-12-14, 0.0
2023-12-15, 0.0
2023-12-16, 0.0
2023-12-17, 0.0
2023-12-18, 0.0
2023-12-19, 0.0
2023-12-20, 0.0
2023-12-21, 0.0
2023-12-22, 4.9972534
2023-12-23, 0.0
2023-12-24, 0.0
2023-12-25, 0.0
2023-12-26, 0.0
2023-12-27, 0.0
2023-12-28, 0.0
2023-12-29, 0.0
2023-12-30, 0.0
2023-12-31, 0.0
2024-01-01, 0.0
2024-01-02, 0.0
2024-01-03, 0.0
2024-01-04, 0.0
2024-01-05, 4.8946137
2024-01-06, 5.15307
2024-01-07, 5.15307
2024-01-08, 2.9695299
2024-01-09, 1.6378644
2024-01-10, 1.9536946
2024-01-11, 1.9536946
2024-01-12, 2.087772
2024-01-13, 6.3701205
2024-01-14, 47.278206
2024-01-15, 20.315542
2024-01-16, 27.671288
2024-01-17, 89.53708
2024-01-18, 87.04196
2024-01-19, 83.058685
2024-01-20, 88.50118
2024-01-21, 94.60127
2024-01-22, 97.85241
2024-01-23, 97.85241
2024-01-24, 97.85241
2024-01-25, 92.55573
2024-01-26, 82.699905
2024-01-27, 85.218864
2024-01-28, 87.709305
2024-01-29, 80.95338
2024-01-30, 85.49355
2024-01-31, 80.02818
2024-02-01, 88.54933
2024-02-02, 76.16575
2024-02-03, 59.968483
2024-02-04, 68.39543
2024-02-05, 65.991066
2024-02-06, 65.41644
2024-02-07, 78.889305
2024-02-08, 69.43179
2024-02-09, 65.46824
2024-02-10, 34.962364
2024-02-11, 24.195566
2024-02-12, 22.031755
2024-02-13, 15.178403
2024-02-14, 26.566057
2024-02-15, 17.44732
2024-02-16, 19.051855
2024-02-17, 19.051855
2024-02-18, 79.291664
2024-02-19, 81.787445
2024-02-20, 81.42767
2024-02-21, 80.09161
2024-02-22, 58.029503
2024-02-23, 51.439606
2024-02-24, 49.696884
2024-02-25, 31.144262
2024-02-26, 25.587236
